1,Matt Baguinon, Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Ba�os, eto ang tanong para sa inyo.Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Angelina Limpin, Kanina nakasakay ako sa jeep galing Philcoa papuntang UP....May dalawang batang lalaki (mukhang mga 13 yrs. old na sila) na nakasay ko sa jeep. Sarap na sarap sila sa pagkain ng mais con yelo ata yun, lalo't mainit. :)) Pagdating ng univ.ave naubos na nung isa. Sabay...Boy1: Uy! Saan ko itatapon toh? (yung baso)Boy 2: Dyan oh! (pangusong tinuro ang kalye ng univ. ave)Ako: (Sabaw. Walang tulog.  Di ko namalayang nakatulala ako sakanila)Boy 1:(Tatapon na sana, napatingin kay friend niya. Tas sakin.)Akala niya ata galit ako dahil nakatingin ako. (Idagdag mo pa ang mata kong mukhang eye bags na tinubuan ng mata)Ang ending: Di niya tinapon. (Buti naman)Bumaba sila ng FC na dala ang kanilang mga basura. :) HAHA.May tulong din pala ang pagka-sabaw. :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Marie Joy Domingsil Madrid, Have you ask this or encounter some freshies asking you this or you yourself in your first day in UP: San po ba yong rooom na TBA? (HAHA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Betty May Villamayor, Kababalik lang ng isang Meteorology master's student mula sa conference sa Japan.Met: Yung isang Hapon ang thesis niya Turbulence...Kami: saan? sa airplane?Met: ...sa Jupiter.Wapak. Happy 10th Anniversary UPD's Institute of Environmental Science and Meteorology!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Peter Julian Cayton, Credits to UP Dilnet.iba't ibang proxy servers.http://www.facebook.com/photo.php?fbid=308910125863691&set=a.184314421656596.48193.149987881755917&type=1&ref=nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Roy Salamat, Hi. For sure, di niyo 'ko kilala. Sino ba naman ako kumpara sa inyo? Di rin naman ganun kakilala kung sang unibersidad ako galing. Tinitingala namin ang unibersidad ninyo. Ngayon, gusto ko lang sabihin na matalik kaming magkaibigan ni Kristel Tejada. Sana kilala niyo siya, bago manghusga. Sana alam niyo yung mga hirap na pinagdaraanan niya sa araw-araw bago niya nilisan ang mundo. Nakakainis para sa 'ming malapit sa kanya ang sinasabi ng karamihan na ignorante sa paligid nila. Nakakainis dahil halos ginawa nang studio ng media ang dapat na pribadong pagluluksa naming magkakaibigan at mga kapamilya niya sa pagkawala ng matalik naming kaibigan. Kasi, gusto naming protektahan ang karangalan niya.Wag po sana tayong maging mapagmataas dahil nasa pinaka-prestihiyosong pamantasan tayo ng Pilipinas. Marami pa kayong hindi alam. Kahit ipamukha ng ilan sa iba na wala pa silang nagagawa para sa bansa, ang tanong, sila ba, kayo ba, may nagawa na? Same goes para sa'kin. Ako rin naman, wala pang nagagawa at napapatunayan. Pero ayokong mabalewala 'tong sakripisyong ginawa niya. Kung pwede, maging leksyon 'to sa 'tin na buksan natin ang isip natin sa mga tao, bagay o issue sa paligid natin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Marvin Qty," Two steps forward; one step backward. Very ingenious; very effective. Scrapping the """"no late payment policy"""" is just half the story. Remember that Kristel was """"forced to file a leave of absence"""" because she could not pay on time. The provisions of the 1984 University Code on LOA (Article 211) does not authorize """"forcing"""" a student to go on leave", let alone for financial reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Agrix Abelilla, Instant milk tea. MS subject.With less than half-filled milk 1 L C2 in hand.Classmate: (after lab work) tara merienda tayo PCC. (fresh carabao's milk)Ako: tara!Classmate: alam mo ba yung milk tea. pwede yan. tindera: wala na 500 mL, 1 L na lang.Ako: (parang awkward) hati na lng tayo. lagay ko na lang dito (with the hypthesized milk tea in mind. haha)Pahabol ko habang nagsasalin: cge try lang nutrition naman tayo. experiment. hehehe.Ako: gusto mo rin tikman??Classmate: sige hindi na lang.Afterako: mahilig k b sa milk tea??Classmate: hindi.Badtrip! experiment nga lang. wew! akala ko naman ginawa n nya. tskAnyway, bumalik ako sa prof namin. dala ang c2 na kulay puti. wahaha!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Shierly Coquilla Ba-ad, Kanina pagmulat na pagmulat ng aking mga mata Boardmate 1 (di UP grad): Oy, may balita kagabi about doon sa UP student na nagsuicide.. in fairness marami na daw babaguhin sa UP system. But sad to say, di parin mawawala ang UP.Ako: o.O..... ba't naman mawawala ang UPBmate 2: ganyan talaga, ung mga taong ma Pride, alam na nilang mali sila di parin nagpapakumbaba, dapat ipasara na yang UP Manila, gusto pa atang may mamatay na naman. (may tonong pagkayamot na parang gusto mag umpisa ng gulo)ako: Okey, I don't want to start my day with an idiotic argument. good night once again... (balik ako sa pagtulog),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Kenneth Pagdanganan, UPLB, LAST SEM, MATH 38. MBLHPumasok ako ng lect. As usual, nandoon yung mga kadaldalan ko. Nang biglang dumating si ma'am. Maam Palacio: (non verbatim) Merong nagbday kahapon na klasmate nyo.(sabay nagflash sa screen ang pangalan KO. oo, PANGALAN ko.Sinabi din ni maam na wala nang klase at nagkantahan na lang dahil nga bday ko kahapon. )AKO: (sa isip) Pano kaya nalaman ni maam na bday ko kahapon?Yun, pala sinabi nila Macci Pascua at Tricia kay maam!NGAYON, BILANG PAGHIHIGANTI, SA TAO RIN NA MISMONG NAGPASIMULA NG MGA KWENTONG SPARKS DITO SA OVERHEARD...nais nming batiin si Miss Macci Pascua ng MALIGAYANG KAARAWAN ngayong darating na Mar. 19, 2013. Please pakibati sya sa kanyang wall hehehe https://www.facebook.com/maccipascua?ref=ts&fref=tsmula kina Mitch, camille, vix, darwin, vincent, tricia, cd1, at iba pa. ^_^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,David Relao, MPH1, CAS A2, UPLB.8AM-9AM. March 15, 2013. STAT1 class.Since last lecture na namin, last quiz na rin. :)Nagpa-quiz si Ma'am tapos 3 items lang. PERO may 10-item bonus after the quiz.Imba kasi mas mataas pa score ng bonus kesa sa mismong quiz. Hahaha.Edi ayun," """"finalize your answers"""" na.NON-VERBATIM.Ma'am: Just hold your papers. 'Wag niyo muna ipapasa.Class: O.O (Usually kasi pinapapasa agad 'yun after...)Ma'am: 'Yung mga may suot ng ID nila ngayon", tumayo at ipasa ang papel dito sa harap. 'YUNG MAY MGA ID LANG ha. 'Yun lang ang chechekan ko 'yung bonus part.Ma'am: Oh, walang magsusuot ng ID dun sa mga hindi talaga nakasuot kanina pa.(Nagtayuan 'yung iba... Meron akong dalang ID kaso hindi ko suot...)Ako: (Naglabas ng ID, isinuot.) Bahala na. Sayang naman. Akmang tatayo't magpapasa... (Nakonsensiya ako...) 'Wag na nga. Mabuti nang honest. (Sabay tanggal sa ID...)Ma'am: 'Yung mga walang ID o hindi suot ang ID, ipasa sa'kin ang papel. Wala na 'tong bonus.(Nagtayuan kami't ipinasa ang papel namin...)Ma'am: Okay, class. 'Yung mga nagpasa sa'kin ng papel dahil hindi nakasuot ang ID, sila lang ang bibigyan ko ng bonus. At etong mga nagpasa dito sa harap, hindi ko bibigyan ng bonus. Konti lang ang nakita kong naka-ID nung nagdi-discuss ako, tapos marami ang nagpasa kasi kasusuot lang nila nga ID nila. Etong mga nagpasa sa'king hindi nakasuot ang ID ang bibigyan ko ng bonus kasi HONEST sila. Class, DAPAT NAGPAPAKA-HONEST KAYO SA LAHAT NG BAGAY. Tingnan niyo nangyari dito sa mga nagpasang guilty kasi kasusuot lang ng ID. Nang dahil sa ginawa niyo, nadamay 'yung ibang may suot talaga ng ID.________Ayan ang sem-ender ng Stat1 sa amin! Astiiiiiig! :D May moral lesson pang naihabol bago magtapos ang klase. AWESOME! :)HONOR and EXCELLENCE nga naman. :))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Faye Barbasa, Proposal-to-Revise-the-STFAP-and-Student-Financial-Assistance-Services-of-UPDate: January 25,2013, Prepared by Asst. Prof. Richard Philip Gonzalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Stefanie Quintin, The University of the Philippines College of Music presentsSOUND IMAGESFeaturing the UP Symphonic Band with soloists Arvin Jan Medrano and Jeffrey Manahanunder the baton of Prof.Rodney AmbatTicket Price: 200php w/50% discount for students (w/valid ID)20% discount for senior citizensFor details, please call: 926-0026/981-8500 loc.2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Lara Chiu, Hi, ask ko lang po. Does anyone here know where I can get course syllabus for courses under first year BA PolSci? I studied in UP 3 years ago and then we migrated. The university to where I'm applying now asks me to provide syllabus of the courses I've taken, does anybody have a copy of their syllabus which they can share? Ituturing ko 'tong malaking utang na loob. Kailangan ko lang talaga. Maraming Salamat. Sorry to post it here, will delete it soon.courses:Eng12French10Math17PolSci11SocSc2Chem1Comm3French 11Kas1Philo1PolSci14email: lara_agpuldo@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Franz Libre, Le kahapon, habang nagproprodwork for a function:Klaid Lumawod: Uie Franz," may space pa ba sa boarding house niyo? Wala kasi akong dorm next sem. Me: Bakit? Gusto mo bang samahan ako? :"""">Klaid: Well that escalated quickly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Katrina Coscolluela, Question: A friend of mine just came back from Singapore tapos magcocollege sana siya next sem sa UPM kaya lang di siya nakapag take ng UPCAT. di na ba daw siya pwedeng makapasok ng UPM?haha shame on me di ko alam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Iyen Sanchez Magallanes-Tolentino, (Admin card) This is not a Narinig Ko Sa UP Post. Gusto ko lang ikalat ang aking ko ting karunungan.Para sa mga namomroblema sa pambayad ng tuition fee, kung ang inyong magulang ay miyembro ng SSS, pwedeng mag-avail ng educational loan.Ngunit, pero, syempre, mayroon iyong tinatawag na eligibility. Para sa karagdagang kaalaman, pumunta na lamang kayo sa wesite ng SSS o sa pinakamalapit na branch upang makahingi ng sapat na impormasyon.P.S. Di ko kayang pigilan na wag ipagkalat ito.  :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Razil Jacinto, https://docs.google.com/forms/d/1kOMMxo1vgbkC5qh_70dWVixBCn2Ju634SGqobVa9Ur0/viewform Hello guys~ pwede patulong naman sagutan ito, sobrang ikli lang as in isang tanong lang. :D Maraming Salamat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Gera Aquino, kanina, kahit parang feeling close ako at sumama ako kay Florence sa ospital kung saan andun si Kristel, nagpapasalamat pa rin ako na andun ako.sobrang nakakaiyak lang dahil habang nakahiga sa morgue si Kristel ay hinihimas pa rin ng nanay niya ang buhok ng anak niya habang pinipigilang umiyak :'(maya-maya ay sinabi na ihahatid na si Kristel sa isang funeral home, kaya ang tatay na niya nalang mismo ang dahan-dahang nagtatakip sa kanya ng puting kumot.pero tumigil ang tatay niya sandali at hinalikan muna ang noo ni Kristel bago siya tuluyang nagpaalam sa anak niya.hindi na rin napigilan ng nanay at lola ang paghagulhol ng iyak, kaya kahit ako na hindi ko kakilala si Kristel ay naiyak na rin, pati ang iba pa niyang mga kaklase.iyakan lang kami habang sinasakay na si Kristel sa ambulansya.nakakaiyak talaga ang nangyari kay Kristel, pero hindi maikukumpara ang sakit na nararamdaman ngayon ng nanay at tatay niya dahil anak nila yun, dugo't laman.at ang mas masakit pa, kung naagapan lang daw sana, ay maililigtas pa ang buhay niya.KAYO PONG MGA NASA POSISYON, AT TATAKBO PARA SA POSISYON, mga magulang naman po siguro kayo no?Kaya dapat kayo ang mas makaramdam ng sakit at pighati na pinagdadaanan ngayon ng mga magulang ng estudyanteng PINAGKAITAN NG KARAPATANG MAKAPAGPATULOY NG PAG-AARAL.HINDI YUNG INIISIP NIYO LANG ANG MGA PANSARILI NIYONG LUHO AT KAGUSTUHAN.KAHIT SANA MINSAN LANG SA TANAN NG BUHAY NIYO AY GAWIN NIYO ANG NARARAPAT.#JUSTICEFORKRISTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Benjie Opposes Budget Cuts, UPLB in solidarity with U.P. System's Black Protest Week against commercialization of education (Wear black):March 19 ﾖ 4pm Carabao Park, Indignation RallyMarch 20 ﾖ 4pm Ecumenical Mass with other sectors, Carabao ParkMarch 21 ﾖ Walk-out against commercialization of education starting 10AM Humanities StepsMarch 22 ﾖ Mendiola Protest with other U.P. unitsKatarungan para kay Kristel Tejada! Katarungan sa lahat ng Iskolar ng Bayan!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Sam Nicholas Quinto, I know that some of you know me as the person who said really awful stuff about the Kristel incident, and I would like to say that I am very sorry for what I said.Here are my public apologies. http://www.facebook.com/samnicholas.quinto/posts/4083125096961and my story here po http://www.facebook.com/samnicholas.quinto/posts/4084216324241Again, I was very wrong in judging her. Thank you po for deleting the post here, and for accepting my request to join this group so that I could make a public apology. For some of you, I know that my apologies are not enough. And so I promise not to repeat my mistake. I have learned my lesson and I will always remember to think a hundred times (if necessary) before I say something negative in cyberspace again. Sorry for being an insensitive jerk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Jessa Marie Lamug, (First time mag-post dito.:3)Baguio City:Kahapon habang nasa jeep kami ng kabahay ko,may kasunod kaming MGA sasakyan ng nangangampanyang senador (nambabato ng mga porselas na may larawan nya). Sumingit sa napakahaba at napakatagal na traffic, inunahan ang mga naunang sasakyan. #Sa isip ko: Hindi po namin kailangan ng porselas, kailangan po namin ng tagapaglingkod na magiging mabuting ehemplo sa lahat. Paano ka po namin iboboto kung sa ganoon kasimpleng bagay palang, nanlalamang na kayo? Pa-VIP po? Tsk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Rosalie Obena, Pasensya na sa abala. Tawang-tawa kasi ako sa kwento ng isa kong matalik na kaibigan. Ilagay na lang natin siya sa pangalang Twinie. Hihi :))[Verbatim]~Isang araw sa bakery,Twinie: Pabili po ate. Ate: Ano yon? Twinie: Monay slice po yung tig-15 pesos. Isa po-- estudyante.Kulang na nga lang sabihin daw ni Ate sa pagmumukha niya," """"Oh", pake ko? Wala siyang napalang 20% discount.~ESTUDYANTE. MONAY. TINAPAY. DISCOUNT.Hay nako, iba na talaga pag naka-hellweek mode.Tanga + Bangag = Sabaw combo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,April Czareen Cruz, Hello Overheard! Since naisuggest na dito na simulan ang mga discussion threads, why not start one di ba. Napaisip lang kami ng kaibigan (na magpaparamdam na sa onting mga sandali) kong mag-survey at alamin ang mga saloobin ng mga isko at iska tungkol sa isang isyu. In light of recent events na yumanig sa sangka-UP-han," ito yung tanong nya: """"Survey: Payag ka ba na libre ang tuition nateng lahat sa UP"," pero 10 years ang RSA (Return of Service Agreement)?"""" Wala kaming ibang intensyon kundi makuha dito ang inyong mga saloobin", opinyon at pananaw. Wala rin kaming ibang nais simulan kundi isang healthy discussion. Yun laang naman. Salamat (Whew, daming disclaimer, pagpasensyahan nyo na, may kaba, hehe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Archie Hindap Figura, Dear UP,So why only now?Meanwhile in UP Manila," its admin has already conducted meetings emphasizing that no one will be deprived of UP education just because of financial constraints.. Accessible enrollment and the idea of LOA due to """"no late payment"""" policy were raised. A certain man from the news on TV said that they are already looking into the possibility that this policy be removed. So why only now? ----- just because a single case of suicide was already sensationalized? Are they doing it out of generosity", sympathy, consolation, politicizing, shame or what? I'm uncertain of what exactly trigerred the assumed suicide of the said girl. However, I know what must have trigerred the admin to review its policy--- the outrage of people out of this isolated suicide case. I'm not also putting the blame on UP admin. I'm just trying to wake it UP because it is not solely sleeping. It also keeps on snoring that it already needs to be awaken. I could not wash my hands here, 90% of myself is badly apathetic as well, but at least, the rest of it could ignite a little so that a part of my entity will be kept burning, at least a part of it. And this girl, though I don't personally know her, gave that spark to me again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Justine Meliton Reyes, check this out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Mi Chaw," Sa tuwing may nababasa/naririnig akong comments about suicide gaya ng """"may iba pang paraan"""""," """"it's selfish""""", and others along those lines, parang gusto kong manadyak ng tuta. Una, nobody has the right to talk about something or someone in a degrading manner unless s/he knows ALL about the subject. Eh kaso, kung sino pa yung kulang ang kaalaman, yun pa ang maraming sinasabi.Pangalawa (at patungkol na rin sa preceding paragraph), sana naiisip ng iba na yung mga nagsusuicide," hindi yan basta-basta lang nagigising isang araw with the thought na """"ay bored ako"," makapagsuicide nga"""". Minsan nga kahit sa pagpili lang kung saan kakain ng tanghalian", matagal tayong nakakapagdesisyon," sa buhay pa kaya? Hindi yun isang beses pinagiisipan. Paulit-ulit. Araw-araw. Huwag sana natin bastusin ang alaala at talino ng tao by saying na """"s/he could've done something else"""". Sa tingin ba natin walang ginagawa ang mga katulad nya? Hindi ba natin naisip na maaring sa bawat gabi", pumapasok sa isip nila yung ideya ng pagpapakamatay pero umaasa na lang na baka bukas makikita na ang sagot? Hindi ba natin natanong kung ilang gabi o araw na sobrang pasakit ang pinagdadaanan bago nakakapagdesisyon na tama na, husto na, dapat nang matapos?Oo, lahat tayo nahihirapan. Lahat tayo nakaranas na nung pakiramdam na parang pinagsakluban tayo ng langit at lupa. Pero hindi yun free ticket para magmayabang at matahin ang mga taong hindi nagawa ang nagawa natin. O sige kung masyado tayong proud, pagawa tayo ng medal.Suicide should never be an option but the fact that it happens shows that others /do/ see it as the only way. Respeto na lang sana dun sa namayapa. Nawala na nga, mamatahin pa ng iba. :|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Mikhael Go Ong, Sa mga Isko at Iska diyan, a little assistance would be appreciated. Please here my case.To all the former and/or current students of Prof. Nelson G. Cainghog from the CSSP, nagbibigay ba siya ng contact details or something? Email or anything?Paki-PM naman sa'kin oh. I really need to contact him before Summer classes start. Sensya na. Thanks!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Gen Flores, UPM. Econ11. Medyo verbatim.Pasahan ng assignment nun, bale my pina-research si ma'am.Classmate A: nakakahiya copy paste lang yung nagawa ko.kinakabahan ako.Classmate B: saken nga pina-xerox ko lang yung kay classmate C e.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ayel Lutero, First post ko po ito, at hindi ito patungkol sa sparks :)Kinuwento lang ni Mama sa akin nung nakausap niya 'yung friend niyang worker sa Apple (ata?) na BSCS graduate, non-UP.(NV)F: O, kumusta na si Ayel dun sa UP? Dinudugo na ba utak?M: *tawa*F: Naku, kung computer science lang din ang kukunin niya, I suggest, huwag nalang siyang mag-UP. Ako, may co-workers na comsci graduates rin galing UPLB.M: O tapos?F: Kita mo naman, ako sa *insert name of a private university in Pampanga* lang graduate pero superior ako nung mga taga-UP.M: Ah.F: Alam mo kasi sa UP, hindi naman talaga sila tinuturuan. Kanya-kanyang kayod lang. Kung tamad sila, wala silang matututunan. Kumbaga, sasabihin lang kung anong dapat gawin, tapos sila na ang bahalang magdiscover sa mga bagay.M: Okay.F: Kaya mas maganda sa labas kasi doon, tinuturuan talaga. Di tulad sa UP.Hindi nalang daw nakipagtalo pa si Mama kasi mahangin talaga si friend, kawawa naman 'yung pride. LOL.At maalala ko," sinabihan rin ako nun dati ng """"Huwag na huwag mo akong kokontakin para magpatulong diyan sa course mo hangga't hindi ka pa graduate."""" Tatawa-tawa pa siya noong sinabi niya sa akin 'yun. Ang ewan lang niyang tignan kaya ngumiti lang ako. Parang ewan lang", pinoprovoke pa akong makipagtalo eh. Bahala siya. Haha.'Yun lang. Segue saglit sa mga nangyayari :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Matt Baguinon, UPLB BS Chemistry student crowned Binibining La Laguna 2013. I'm so proud of you Riji Anne Mae Canog!!! :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Abbie Demavivas, I'm not sure if this can be posted here but I'd like to ask for your help in spreading the word about this. Francis Liwanag has been missing since March 1, 2013.http://www.facebook.com/photo.php?fbid=10151484223903851&set=a.58115883850.65812.664033850&type=1&ref=nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Joana Camille Gutierrez Codera, jeepney seen papuntang SU kanina lang (ako lang ang pasahero sa jeep):NVManong driver: hanggang kailan na lang ang UP?ako: 0.o po? (woo!!! nabigla ako sa tanong)Manong driver: hanngang kailan na lang ang klase nyo kako.Ako: AH!!!! -_- (akala ko mawawala na ang up. Wooo!!!!)----share lang :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Katrina de Leon, tanong lang," sa UPM lang ba may """"forced LOA"""" o sa lahat ng academe ng UP? kasi nung panahon ko dati sa UPLB", pag di ka nakapagbayad ng loan," mahihirapan ka lang makapag-enroll sa next sem pero walang """"forced LOA"""" . tuloy pa din ang sem mo kahit andami mo pang liabilities sa tuition. keribels lang din mag-apply ng loan at kahit hand written lang ang promissory note ay tinatanggap pa din! sa UPLB din ba may ganitong batas na?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Gem Navarro, i am afraid that one day,"i will be ashamed to call myself as an """"iskolar ng bayan""""because the University itself failed to protect the welfare of its students and uphold its ideals.where's the """"freedom"""" that the oblation signifies?where's the """"quality education""""?where's the """"education is for all""""it is just a matter of time that UP would be exclusive for elites in the future.Akala ko ang UNIBERSIDAD NG PILIPINAS ang SIMBOLO NG PAG-ASA sa mga MAHIHIRAP na katulad ko.Na hindi mo kelangang maging mayaman para makapag-aral.pero mali ako", kahapon isang iska ang tinanggalan nila ng PANGARAP.AT NG BUHAY.#justiceforKristel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Carlo Sofer, Not to offend or to look stupid (or whatever), but with all of the issues and stories here, the only things I can do right now is to scroll down all of the posts, agree and disagree with those posts, and post something like this.BTW, Ms. Kristel Tejada, I hope you find peace in heaven or wherever you are right now.. :(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,William Patrick Buhian," Overheard mula sa isang farmworker sa Hacienda Luisita:""""Mga taga-UP pala kayo", mga matatalino at mayayaman," yan ang alam namin dito.""""Si nanay po na nagsabi nito ay may bunsong anak na salutatorian. Sinabihan niya ito na hanggang high school lang ang makakaya niya. Ni hindi niya mapag-aral sa Central Luzon State U. kasi hindi nila kaya ang Php 6",000-ish na semestral matrikula.Hustisya sa Iskolar ng Bayan.EDUCATION FOR ALL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Mikko Gozalo, First year second sem, hindi ako mapakali sa dorm. First time ko kasi magkakaroon  ng klase sa PH1100 para sa Chem 16 lecture. Iniimagine ko ang Palma Hall, kahit anong isip ko wala talaga yung 11th floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Julian Ricardo Ama Geronimo, UPD Fine ArtsMini-Thesis Presentation Date: April 1Ma'am: humanda kayo sa april fools!Ako: ah so ma'am ibig sabihin pag bagsak kami sa presentation ibig sabihin pasado talaga kami?Ma'am: ah hindi. ang joke talaga dun eh bagsak na talaga kayong lahat tapos pinag-present ko lang kayo.Ako: :|KASTRESS. :)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Kimberly Arguelles Alamo, HUM1 class. Katabi ng classroom nmen ay hagdan, so rinig na rinig  mo sa loob ng room yung ingay ng mga taong bumababa ng hagdan.One time,nagdidicuss yung prof nmen at seryoso sa pakikinig ang buong klase, nang may mga girls na pababa ng hagdan at nag-uUsap nang malakas:Girl1: Girl maaga pa pala tayo.Girl2: oo nga. wait lang. Naiihi ako. CR muna ako. (with a very loud voice)Maam:(tumigil sa pagdidiscuss at nagsalita) so, kailangan talagang iannounce ang pagpunta sa CR?:)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Toffer Briones, Dahil mag-iisang taon na mula noong mga huling araw ko sa UP, naalala ko ang isang pangyayari sa isang klase. *During the last meeting of one elective I took*When it was already past the period, a lot of my classmates were worried about the time. As my teacher caught some of my classmates turning their heads to the clock," she then interjected:""""Surely"," the time will pass. But will you?"""" Nawa'y lahat ng mga nakatakdang magtatapos ngayong semestre ay makapasa nga. Happy graduation! :D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Krizzia Elyse Ma�ago, Isa sa mga mamimiss ko sa UP BREHA, UPB: Setting: UP BREHA (dormitory) Midnight noon. Siyempre, dahil nag-aaral, gutom. Ang problema, ubos na ang mga inimbak naming pagkain at sarado na rin ang office ni Ma'am Ofel (landlady). Magpapadeliver pa naman sana kaming roommates ng Mcdo. So ang nangyari, punta kami sa guardhouse ng BREHA, tapos tawag ang mga guard sa guard sa campus at ang UPB ang tumawag sa Mcdo at umoorder. Kami ay nakakain. Bow.Salamat sa mga mabubuting guwardiya ng UPB at napunan ng laman ang nagkikiskisang balat ng aming mga bituka .... sa kalalilaman ng gabi. :)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Karla Regino, Dahil panahon n din ng pagcclearance, nagflashback sa akin ang moment na ito: Magpapapirma ako sa agronomy bldg. Pasok sa may dept. office para magtanong kung san at sino yung mga taong papapirmahin ko. May pumirma at itinuro pa ni tita kung sino pa yung pipirma. Paglabas ko ng room," nakasalubong ko si manong na familiar sa kin ( sa pagkaalala ko eh naging asst. sya sa isa sa mga lab classes ko nung freshie pa ako. I'd rather not describe kc feeling ko kilala sya dun. Haha)Ako: (ngiti lang dahil nakangiti din sya sa kin)Manong: gagraduate ka na ba? (Big smile)A: (masaya ako kapag grad ang pinaguusapan.. Syempre! Haha). Opo... :DM: aba... Tingnan mo nga naman! (Sabay hawak sa braso ko at sabay beso) congratulations!A: o_0.. ah thank you po! (Sabay alis na ako) *he did the """"beso"""" in a very weird way. Parang nagoosebumps ako. Kelangan ba talaga yun?! LolAnyway salamat pa din sa pagbati ni manong ang congratulations sa lahat ng gagraduate! :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,John Paul Penuliar, kanina, papasok ako dahil may exam.sumakay ako sa tapat ng Vega, pa-kaliwa (UPLB). tapos nang nandun na sa babaan, pahinto na yung jeep at saktong nagbayad ako,ako: bayad po..at pag tapos nun ay papara at bababa si ate na katapat ko at nagsalita siya:ate: Bayad po.. ay, para palakaming ibang pasahero : (smile smile lang, nagpipigil ng tawa)LOL! gaya-gaya lang si ate :)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
