Kumeresign,7 Days na lang. #PiliPinas2016 Debates na naman!!!
NicolettNikki17,Sya ang solusyon sa mga problema ng Pilipinas. #PHVoteDuterte #PiliPinas2016
alyssalvarez_,Hmmm what's good #PiliPinas2016
matimtwrn,"#PHVoteBinay 
#PHVoteRoxas 
#PHVoteDuterte 
#PHVoteSantiago 
#PiliPinas2016

The emojis tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
ngelaguiao,#PiliPinas2016  @hjoldr
tolBeronee,"@fmsmanuel  #Pilipinas2016ﾠ #PHVoteBinayﾠ, #PHVoteDuterteﾠ, #PHVotePoeﾠ, #PHVoteRoxasﾠ #PHVoteSantiago"
risbasmayor,Desperate tuwid na daan. Using government vehicle to campaign. Smh #comelec #PiliPinas2016 @COMELEC @jabjimenez https://t.co/8iz2HHWPMK
DanKervin_,"#PiliPinas2016
#PHVoteBinay
#PHVoteDuterte
#PHVotePoe
#PHVoteRoxas
#PHVoteSantiago"
NicolettNikki17,The ideal president for our country. #PiliPinas2016  #PHVoteDuterte
pinoy_shade,"Hindi na ako naniniwala sa ""Hindi ako magnanakaw"".
Isugal ko nalang ang boto ko sa ikakalutas ng 'Krimen'.
#PHVoteDuterte #PiliPinas2016"
iamrieeel,#PiliPinas2016
Gidoooooong,#PiliPinas2016
castil_darwin,#PHVoteDuterte #PiliPinas2016
mryjyc_dlsrys,#PiliPinas2016
julius_bondoc,@drwcmps #PiliPinas2016
thirdyglino,Just trying the emojis of #PHVotePoe #PHVoteBinay #PHVoteDuterte #PHVoteRoxas #PHVoteSantiago cos they're so cute #PiliPinas2016
PaulineAlliyah,#PiliPinas2016 vote for #PHVoteDuterte #PHVoteRoxas #PHVotePoe <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD>
PaulineAlliyah,#PiliPinas2016 hope you'll choose wisely <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>
ceearbee20,"Don't let us down naman! #PiliPinas2016 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteDuterte 
#PHVoteRoxas 
#PHVoteBinay"
IAmMjGuirhem,#PiliPinas2016 #PHVoteSantiago
frincessnavarro,"#PHVoteDuterte  laban pilipinas
#PiliPinas2016"
ceearbee20,"Kelangan bang nakaupo sa pinakamataas na posisyon bago kayo gumawa para mga tao? Diba mga ""lider"" pa rin kayong maituturing? #PiliPinas2016"
NewsLightTV,"ALAM MO BA?

Kapag nag-tweet ka gamit ang #PiliPinas o #PiliPinas2016 may special emoji na lalabas. #Eleksyon2016 https://t.co/RZCxhBB2RS"
phoebedelacruz,#PiliPinas2016
wtvrlorraine,"#PiliPinas2016 
#PHVoteDuterte"
ANNAverrr,"We need responsible and educated voters the most. Don't waste your vote, vote for worthy leaders. #PiliPinas2016"
ceearbee20,Wag kalimutan ang #MRTBulok at #carmageddon. Dami nyo pwedeng gamitan ng galing nyo tapos sinasayang nyo oras sa bangayan? #PiliPinas2016
sutsurutsut,"So Cute.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> emoji for president.. <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>

 #PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
ceearbee20,May mga nabibiktima na naman sa #naia. Baka naman gusto nyong imbestigahan at bigyan ng solusyon. #PiliPinas2016
EvilBananaaa,ang cute ng emojis!! #PiliPinas2016
itsJCo,#Miriam2016 #PiliPinas2016  https://t.co/rkqqEEgMMx
vincentroxas21,#Pilipinas2016 #PHVoteDuterte #PHVoteSantiago
ceearbee20,Barahan na lang ba kayo habambuhay? Mga plates &amp; lisensya sa #LTO backlog pa rin. Baka naman gusto nyong gawan ng paraan. #PiliPinas2016
ygshits,#PiliPinas2016 #PHVoteDuterte
jeacrizgumtang,"#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PiliPinas2016"
Justinilagann,#Pilipinas2016
jeacrizgumtang,"#Pilipinas2016
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteSantiago"
strawberrygemm,kyotttt ng emojis #Pilipinas2016 https://t.co/ivCJa4RLaR
Lotshei1,"Msubukan nga 2 naCurious lng eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
C @Senyora kaC <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteDuterte 
#PiliPinas2016"
CAMILLEahomes,#PiliPinas2016 #PHVoteDuterte
greatvhinz,Much Better if Pulse Asia switch it to FALSE ASIA #PHVoteDuterte #PiliPinas2016 #RealChange is coming
PatrishaHan,#PiliPinas2016 #PHVoteDuterte
francinflorend,"#PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
acsbautistaa,#PiliPinas2016 #PHVoteDuterte
marcjoshveloso,#Pilipinas2016
QuotesBuffetPH,"Vote wisely! <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD>

#PiliPinas2016 
#Eleksyon2016"
marsanmarvin,"#PiliPinas2016  
#PHVoteDuterte"
mackysus,"#PiliPinas2016 
#PHVoteSantiago"
Carl_Cornelius,"What do you like from Sen. Santiago as PRESIDENT? <ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>
#PHVoteSantiago #PiliPinas2016"
scribblerjack,#PiliPinas2016
Eseng_pogee,#PiliPinas2016 #PHVoteDuterte  ikaw n mayor...
JanaXenia_,One Last Time #PHVoteDuterte #PiliPinas2016
davebelacho,#PiliPinas2016
iamAnjaLYN,Wala. Sana magkaroon soon. #PiliPinas2016
tinaarceodumlao,"Twitter, Comelec launched the #PiliPinas2016 and presidential candidate emojis, geared to inspire Filipinos to discuss opinions via tweets."
primariecarbon,#PiliPinas2016 #PHVoteDuterte #PHVoteRoxas #PHVoteSantiago #PHVotePoe #PHVoteBinay
Carl_Cornelius,"Whatever happens, I will always choose Sen. Santiago for #PRESEDENT! <ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>
#PHVoteSantiago #PiliPinas2016 #Salute <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>"
OMyGelay,"#PiliPinas2016 
#PHVoteDuterte 
#PHVoteSantiago 
#PHVotePoe 
#PHVoteBinay 
#PHVoteRoxas"
cjhayazuela,#PiliPinas2016
Carl_Cornelius,I believe in Sen. Santiago that she'll lift this nation from what it is now when president! #PiliPinas2016 #PHVoteSantiago
chxycristina,#PHVotePoe #PiliPinas2016
SlaymasterLouis,"These emojis are so cute
#PiliPinas2016 
#PHVoteDuterte 
#PHVoteRoxas 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteBinay"
lil_julianna212,"#PHVoteDuterte 
#PiliPinas2016"
itsmederlyn,"Cute emoji :D 
#PiliPinas2016 
#PHVoteDuterte 
#PHVoteSantiago 
#PHVotePoe 
#PHVoteBinay 
#PHVoteRoxas"
FerzieAlias,"Cute #Pilipinas2016ﾠﾠ presidential candidates emojis
#PHVoteDuterteﾠﾠ#PHVotePoeﾠ #PHVoteSantiago #PHVoteBinayﾠ #PHVoteRoxasﾠ <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
cristinevcl,"#PHVoteDuterte #PiliPinas2016 
Ang cute ng emojis <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>"
johnellefer,"#PHVoteSantiago #PHVoteDuterte #PHVotePoe #PHVoteBinay #PHVoteRoxas #PiliPinas2016 

Try lang haha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> cute kasi eh <ed><U+00A0><U+00BD><ed><U+00B2><U+009E>"
johansalarda,Yung eksenang locked character pa din si Binay. #PiliPinas2016 #PhVoteSantiago https://t.co/B634lmPKiz
anaXquibot,#PiliPinas2016  emojis of presidentiables tho. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
vivrexamour,That's a president that actually cares about the well being of the people at hindi puro salita lang #PiliPinas2016 https://t.co/wqrBzG4dDn
johansalarda,Yung eksenang locked character pa din si Binay. #PiliPinas2016 https://t.co/pNHj6E9k8k
miksalmighty,#PiliPinas2016
johansalarda,"Trying @twitter's #PiliPinas2016 presidential emojis!

#PHVoteBinay
#PHVoteRoxas 
#PHVotePoe 
#PHVoteDuterte 
#PHVoteSantiago"
aprbenjamin,"#PiliPinas2016
#PHVotePoe
#PHVoteDuterte
#PHVoteRoxas
#PHVoteBinay
#PHVoteSantiago
just want to try the emojis :)))"
bunx13,@etienne_rulz @liz_dujello ayyy dalawa! #PiliPinas2016   #pilipinas
bunx13,@etienne_rulz @liz_dujello honga!! hahahah!! #Pilipinas2016  #Pilipinas
HeyItsYouJosh,#PiliPinas2016
restuapatrick,"#PiliPinas2016ﾠ 

#PHVoteSantiagoﾠ 
#PHVoteRoxasﾠ 
#PHVotePoeﾠ 
#PHVoteBinayﾠ
#PHVoteDuterte"
junechinn,#PHVoteDuterte #PiliPinas2016
Eseng_pogee,#PiliPinas2016 #PHVoteDuterte para sa pagbabago
ziallcastic,"#PiliPinas2016ﾠ #PiliPinasﾠ

#PHVoteSantiagoﾠ 
#PHVoteDuterte"
nerizza_09,"The emojis are so cute<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
But I will go for Duterte.<ed><U+00A0><U+00BD><ed><U+00B8><U+009C> #PiliPinas2016 

#PHVoteDuterte
#PHVoteSantiago 
#PHVoteRoxas 
#PHVotePoe 
#PHVoteBinay"
sambalasolla,Trending ang #PHVoteDuterte! Sana ang mga tweets ay maging boto sa May. #PiliPinas2016
aveenacunagulo,testing daw beh #PiliPinas2016 #PHVoteDuterte #Duterte2016 https://t.co/el9nsm4LgB
kiarzha18,#PiliPinas2016  #PHVoteDuterte
DennisTaylor_EZ,#PiliPinas2016 emojis are sooo Cool! ;)
SFSGob,"#PiliPinas2016 
#PHVoteDuterte 
#PHVoteSantiago"
mockingfayee,#PiliPinas2016 #PHVOTEDUTERTE
sh3ysh3y,Ito ang dapat para sa mahal nating! #PiliPinas2016  #PHVoteDuterte emoji Bangon Pinas! https://t.co/4AkrLHN4Fv
ranytala,"#PiliPinas2016 
Sadalawang isip pa rin kina
#PHVoteDuterte at #PHVoteSantiago"
tekimik,Hmmm testing #PiliPinas2016 #PHVoteBinay #PHVoteSantiago #PHVotePoe #PHVoteDuterte #PHVoteRoxas <ed><U+00A0><U+00BD><ed><U+00B4><U+00AB> oooops!  https://t.co/WMa1tmYVxl
mocheiraz,Ang cute ng mga emoji sa #PiliPinas2016 hihi | #PHVoteDuterte
bananacastle,cute naman nitong mga presidentiables emojis #PiliPinas2016
GemmaMichiko,#PiliPinas2016
patrickpineda,"#PHVoteRoxas
#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteSantiago 
#PiliPinas2016"
RyeValeroso,"#Netizenswatch 
#PiliPinas2016  https://t.co/LTrGmXo1Qf"
PBAnalyst,"Vote wisely! 

#PHVoteBinay 
#PHVoteDuterte
#PHVotePoe
#PHVoteRoxas
#PHVoteSantiago 

#PiliPinas2016"
TheJayTan,#PiliPinas2016 #PHVoteDuterte
emicruzjr,"#PHVoteBinay  
#PHVoteDuterte  
#PHVotePoe  
#PHVoteRoxas  
#PHVoteSantiago
#PiliPinas2016"
RyeValeroso,I <ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #PiliPinas2016
6LoryAnn,Cool! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PiliPinas2016  https://t.co/KCVtiZVLuT
kimbeeiLy,#PHVoteDuterte #PiliPinas2016 oh yeah #VoteJamesFPP
Jayps07,#PHVoteRoxas  #PHVoteRobredo #PiliPinas2016 #DaangMatuwid
Yeyshwrm,#PiliPinas2016 so cool naman this<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Jowcel,#SiMiriamAngSagot #PHVoteSantiago #PiliPinas2016 <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> https://t.co/Xh3T7YsRXM
Jowcel,Nakakakilig ka mam <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> #SiMiriamAngSagot #PHVoteSantiago #PiliPinas2016
HamEnChiez,Kaylangan pa bang mamili between MDS and Dutertards? Obvious naman guys wake up! Solid #PHVoteSantiago #PiliPinas2016
gvillanueva831,Vote Wisely Pilipinas #PiliPinas2016 #PHVoteRoxas  #PHVoteBinay #PHVoteDuterte #PHVotePoe #PHVoteSantiago
mayayangkaren,"Lol

#PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
imgdiaz,#PiliPinas2016 #PHVoteMarcos #BBM2016
iemIrene,"#PiliPinas2016 
#PiliPinasDebates2016 
#PHVoteSantiago"
iam_ghie84,"#PiliPinas2016 
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteDuterte 
#PHVoteSantiago 
#PHVotePoe"
iamMarleyBob,The emojis hahaha   #PHVoteDuterte #PHVoteRoxas  #PHVoteBinay  #PHVoteSantiago  #PHVotePoe #PiliPinas2016
dawnardel,"#PiliPinas2016
#PHVoteDuterte #PHVoteSantiago #PHVotePoe #PHVoteRoxas #PHVoteBinay 
Ha! Emojis <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD>"
hoyikawsipagirl,#PHVoteSantiago #PiliPinas2016!
joanneclaireh,"#PiliPinas2016 
Cutie emojis https://t.co/jbqDdNVcku"
ActuallyJRC,"#PiliPinas2016 
#PHVoteSantiago"
ejaewrecks,#PiliPinas2016
jamoniquereyes,"Ang kyooot <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#PHVoteRoxas 
#PHVotePoe 
#PHVoteDuterte 
#PHVoteSantiago 
#PiliPinas2016"
roytiamzon,"#PiliPinas2016 
#PHVoteRoxas 
#PHVoteBinay 
#PHVotePoe
#PHVoteDuterte 
#PHVoteSantiago"
du30movement,Hmm. Interesting. #PiliPinas2016 #PiliPinas
ambientlrh,"i find these cute lmao

#PHVoteSantiagoﾠﾠ
#PHVotePoeﾠﾠ
#PHVoteDuterteﾠﾠ 
#PHVoteBinay
#PHVoteRoxasﾠﾠ
#PiliPinas2016"
ohohkram,"#PiliPinas2016 
#PHVoteDuterte <U+2714><U+2714><U+2714>
#PHVoteSantiago  <U+2714><U+2714>
#PHVotePoe <U+2714>
#PHVoteBinay <U+2716><U+2716>
#PHVoteRoxas <U+2716><U+2716><U+2716><U+2716><U+2716><U+2716>"
maineintheam16,"Ang kyot ni mar hahahaha #PHVoteRoxas 
Parang star trek si rody #PHVoteDuterte #PiliPinas2016"
missayette,"ANG COOL NITO!! Hahaha Kbye

#PHVoteSantiagoﾠ
#PHVotePoeﾠ
#PHVoteDuterteﾠ
#PHVoteBinayﾠ
#PHVoteRoxasﾠ
#PiliPinas2016"
acejulian23,#PHVoteDuterte  DUTERTE is my PRESIDENT! #PiliPinas2016 #ALDUBRegaloNiLola #ShowtimeFirstFridate #PHVoteDuterte https://t.co/1B6TkzgDHn
AiMbisyosa,#PHVoteDuterte #PiliPinas2016
jpbencito,#PiliPinas2016
gvillanueva831,#PiliPinas2016 nice one @COMELEC
DaRealCrazy,#PHVoteSantiago #PiliPinas2016
HEreROn_,Sponsored that one. #PiliPinas2016
immiyulee,#PiliPinas2016 #PHVoteDuterte
ajannnggggg,"ang cool talaga nito. lumelevel-up infairness!<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteSantiago
#PHVotePoe
#PHVoteDuterte
#PHVoteBinay
#PHVoteRoxas
#PiliPinas2016"
_marielstacruz,#PiliPinas2016
DARlinglogronio,@COMELEC kewlness #PiliPinas2016 #PHVoteRoxas #PHVoteBinay #PHVoteDuterte #PHVotePoe #PHVoteSantiago
paulsrmnt,@paulsrmnt #PiliPinas2016
HEreROn_,Look: #PiliPinas2016 Lol. :)
mawiii94,#PiliPinas2016 #PHVoteDuterte
ShirleyanneDela,Bakit ganun ang results ng #PulseAsia? #PHVoteDuterte #PiliPinas2016 #PHVote https://t.co/YIcNYJXsvU
cherdimmack,#PiliPinas2016
sambalasolla,@TinCabia #PiliPinas2016 also has an emoji! #PHVoteDuterte https://t.co/NimVRamh4G
Aby_Was_Here,None of the above #PiliPinas2016
meannie_kay,"C. #PHVoteDUTERTE 
""@MarengMiriam: #Pilipinas2016 : Sino ang iboboto niyo?"""
iamnotmay,#PiliPinas2016
starrBACS,#PHVoteDuterte  #PiliPinas2016
DominguezPR,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/JhSIkFHImj
dead_stan,Here are issues the next President should face and fix... + more. #PHVote #PiliPinas2016 #Halalan2016 #DapatTama  https://t.co/Pq2GMFmc9n
jellybadelly,#PiliPinas2016 #PHVoteDuterte
bayhoooooo,"#PiliPinas2016 
#PHVoteSantiago 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas
(Wala si Binay kasi tang ina niya)"
kbrushes,Still undecided with these two #PiliPinas2016 #PHVoteMiriam #PHVoteDuterte
pinoymommy,@COMELEC So we can verify our votes onscreen but no printout? #PiliPinas2016
lovebelgrade,"Kudos @COMELEC! You know millennials so well:

#PHVoteBinay  
#PHVoteDuterte 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteRoxas 

#PiliPinas2016"
xharmein,"Change is coming. Our country needs a leader like him.

#PiliPinas 
#PiliPinas2016 
#PHVoteDuterte https://t.co/1K7UB6ha7a"
ejerbygo,#PiliPinas2016    Try lang.
paoroar,"Try ko lang haha. Cutie emojis

#PHVoteSantiago  
#PHVoteDuterte  
#PHVotePoe 
#PHVoteBinay 
#PHVoteRoxas 

#PiliPinas2016"
jaenboysillo,#PHVoteDuterte #PiliPinas2016
marieclaire023,"#PiliPinas2016 #PiliPinas 

#PHVoteSantiago 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteBinay 
#PHVoteRoxas"
Carl_Cornelius,#PiliPinas2016 #PHVoteSantiago
woniewookie1023,"#PHVotePoe 
#PHVoteSantiago 
#PHVoteDuterte 
#PHVoteRoxas 
#PHVoteBinay 

#PiliPinas2016"
Clarenzsh,#PiliPinas2016
gwenityyy,#PiliPinas2016
addtheesuntoes,Still undecided.. I plan to watch the rest of the schedule debates of #PiliPinas2016 .. maybe those can help.
ms_galaxxelle,"#PHVoteRoxas
#PHVoteBinay
#PHVotePoe
#PHVoteDuterte
#PHVoteSantiago
Ladies &amp; gentlemen these are the Presidentiable bet
#PiliPinas2016"
SOUKOR,"#PiliPinas2016 #PiliPinas

#PHVoteSantiago 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteBinay 
#PHVoteRoxas"
zerocaloriesmc,Cute Emojis!!! #PiliPinas2016 #Pilipinas #PHVoteBinay #PHVoteDuterte #PHVotePoe #PHVoteRoxas #PHVoteSantiago
jusswwaa,"ANG KISEG HAHAHAHAHA <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
zerocaloriesmc,Cute Emojis!!! #PiliPinas2016 #Pilipinas #PHVoteBinay #PHVoteDuterte #PHPoe #PHVoteRoxas #PHVoteSantiago
ethelxochoa,Ang cool ng idea ng @COMELEC para sa election. #Pilipinas2016
shemceeeee,Lovin' the emojis #PiliPinas2016
ivlouise,can't decide yet whether im for #PHVoteSantiago  #PHVoteDuterte  or #PHVotePoe... #PiliPinas2016
feygerero,"#PiliPinas2016 #PHVoteDuterte 
Cuteeee"
SJ_DenE,I'll go with a man who's true to himself and to his countrymen.  #Pilipinas2016 #PHVoteDuterte  https://t.co/PVEvQPrnq4
allanistheman11,#PHVoteDuterte #PiliPinas2016
MargiTuands,"Cute Hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteRoxas
#PHVoteBinay
#PHVoteSantiago
#PHVotePoe
#PHVoteDuterte
#PiliPinas2016"
zerocaloriesmc,#PiliPinas2016 #Pilipinas
jinglebelles17,#PHVoteDuterte #PHVotePoe #PHVoteBinay #PHVoteRoxas #PHVoteSantiago #PiliPinas2016 Wala lang natuwa lang ako sa mga emoji. Good job @COMELEC
suigeneris_05,"#PHVoteRoxas
#PHVoteBinay
#PHVotePoe
#PHVoteDuterte
#PHVoteSantiago

Ladies and gentlemen these are the Presidentiable bet.

#PiliPinas2016"
balbieish,Interesting. Cute emojis for #Election2016 #Pilipinas2016 ! https://t.co/1WKWLIMd7q
brncstl,#PHVoteSantiago #PiliPinas2016
NadineGsays,Duterte! #PiliPinas2016
arminab_,#PHVoteSantiago #PiliPinas2016
aeLabbyuu,#PiliPinas2016 #PHVoteDuterte  FTW
kathalarcon09,"<U+2705><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><U+2705>

#PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
adenlfp,"#PiliPinas2016  #PHVoteRoxas  #PHVoteBinay #PHVotePoe #PHVoteDuterte  #PHVoteSantiago  

~ cool emojis tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
BisdakK,"#PiliPinas2016 
Sino iboboto niyo?

#PHVoteDuterte
#PHVoteSantiago 
#PHVotePoe 
#PHVoteBinay 
#PHVoteRoxas"
maekobarican,"#PiliPinas2016  #PHVoteDuterte 
ang cool <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
enajorravan,The emojis for #PiliPinas2016 tho.
Micocasile_,#PHVoteSantiago #PiliPinas2016
meeeeejaaaam,@MarengMiriam #PHVoteDuterte #Pilipinas2016
engr_lytie01,Not voting for that noontime show host as a senator. #PiliPinas2016
MangalinoKeneth,Cute ng hashtags #PiliPinas2016 <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
vannecamello,#PHVotePoe #PiliPinas2016
krezelbayonito,"#PiliPinas2016
#PHVoteDuterte
Para sa minimithing pagbabago!!!"
javierantoniovp,#PiliPinas2016
jeannahtalavera,"Cutie!
#PiliPinas2016
#PHVoteSantiago 
#PHVotePoe 
#PHVoteDuterte 
#PHVoteRoxas 
#PHVoteBinay"
pearly_chel,"#PHVoteDuterte
#PHVoteSantiago 
#PHVoteBinay 
#PHVoteRoxas 
#PHVotePoe 
#PiliPinas2016"
rubeell,Have something to say? Candidate emojis now up on Twitter! #PiliPinas2016  https://t.co/5OhyxjsOZL
dseowtwtr,"Lots of love for emojis on @TwitterPH, this time for the #TwitterElection. Go #Pilipinas2016! https://t.co/nJSVHjfIqZ"
niuqnubpj,"eh yung naaliw ako dito.,ang cute lang <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteDuterte
#PHVoteSantiago 
#PHVotePoe
#PHVoteBinay
#PHVoteRoxas

#PiliPinas2016"
jpags_me,"Wow. Haaha
#PiliPinas2016  https://t.co/Gq1N9EdEK5"
carlathegenuine,Cooool! #PHVoteSantiago #PHVoteDuterte #PHVotePoe #PHVoteBinay #PHVoteRoxas #PiliPinas2016
oldmanchew,@TwitterPH @mlimcaoco how cool is that! #PiliPinas #pilipinas2016
LJFajemolin,#PHVoteDuterte #PiliPinas2016
chrizLuminario,#PiliPinas2016
GustokoBrownies,@COMELEC #PiliPinas2016
jhazelpink,Nawala na yung emoji bakit ganon #PiliPinas2016
flycamille15,HE DESERVES THIS! #PiliPinas2016  https://t.co/UdyrO9VDEo
dokcas,Lezgo #PiliPinas2016
VynzAlaan,Nice naman nitong hashtag #PiliPinas2016
EinahPotss,"ayos <ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>

#PiliPinas2016ﾠ
#PHVoteSantiagoﾠ
#PHVotePoeﾠ
#PHVoteDuterteﾠ
#PHVoteRoxasﾠ
#PHVoteBinay"
realjackien,"These emojis are really cool and awesomeeeee<U+2661>

#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteMiriam 
#PiliPinas2016"
HilarrioHudas,#PiliPinas2016
jhazelpink,#PiliPinas2016 yeah
_heyitsmeee,"wow that's cool <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
#PiliPinas2016 
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteSantiago"
pjgiray,#PiliPinas #PiliPinas2016 #PHVoteSantiago #SiMiriamAngSagot #MiriamFight #Miriam2016
anne_phot,"If I am to rate the 5 candidates:
#PHVoteDuterte 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteBinay 
#PHVoteRoxas 

<ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PiliPinas2016"
osbertbryan,"Don't forget to vote for #PHVoteDuterte for the #PiliPinas2016 elections
Ayos???"
DominguezPR,"#PiliPinas2016 ready ka na ba? Sino iboboto mo? 
#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteSantiago"
noelontheroad,"@bongbongmarcos on latest survey: Our message is being accepted by Filipinos, a reflection for change through unity.
#PiliPinas2016"
AskGrab,"Cute na Emojis
#PHVotePoe 
#PHVoteSantiago 
#PHVoteBinay 
#PHVoteDuterte
#PHVoteRoxas 
#PiliPinas2016"
franzizzzle,"uhm, we also need this #PiliPinas2016  https://t.co/bb3Ugai61W"
vieparis01,@TwitterPH #PiliPinas2016 #PHVotePoe
patrickrreyes,@patrickrreyes Wala bang icon ang #ADSPEAK2016  tulad sa #PiliPinas2016 hahaha
angdemie,Sen Miriam for the President. #PHVoteSantiago #PiliPinas2016
purplegrixy,#PHVoteDuterte #PiliPinas2016 <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
gesunderulo,#PiliPinas2016 #PHVoteSantiago
ASAPinoso,"#PiliPinas2016 
#PHVoteDuterte"
MarengMiriam,"#Pilipinas2016 : Sino ang iboboto niyo?

A. #PHVoteSantiago
B. #PHVotePoe
C. #PHVoteDuterte
D. #PHVoteBinay"
runadeyn,#PiliPinas2016
noelontheroad,"@senmiriam: To change the country is to change ourselves. 
#PHVoteSantiago #PiliPinas2016 #Halalan2016 #Election2016"
IamLizVPerez,#PHVoteDuterte #PiliPinas2016
msxysarhea,Ateng look oh #PHVoteDuterte @iamsimplybill #Pilipinas2016
nikolairaphael,#PHVoteSantiago #PHVoteDuterte #PiliPinas2016
